13867	"PTB_WSJ"	"Wright"	"aide"	15	18	12405		
21017	"HDFRE"	"his"	"subjects"	24	25	1017	"The desired spectacle instantly appeased the tumult ; and the son of Marcus might even yet have regained the affection and confidence of <b>his</b> <b>subjects</b> . "	
21372	"HDFRE"	"his"	"subjects"	73	74	1372	"In the administration of justice , the judgments of the emperor were characterized by attention , discernment , and impartiality ; and whenever he deviated from the strict line of equity , it was generally in favor of the poor and oppressed ; not so much indeed from any sense of humanity , as from the natural propensity of a despot to humble the pride of greatness , and to sink all <b>his</b> <b>subjects</b> to the same common level of absolute dependence . "	
21403	"HDFRE"	"his"	"subjects"	54	55	1403	"The lawyers and historians concurred in teaching , that the Imperial authority was held , not by the delegated commission , but by the irrevocable resignation of the senate ; that the emperor was freed from the restraint of civil laws , could command by his arbitrary will the lives and fortunes of <b>his</b> <b>subjects</b> , and might dispose of the empire as of his private patrimony . "	
21546	"HDFRE"	"his"	"subjects"	17	18	1546	"The most wealthy families ruined by partial fines and confiscations , and the great body of <b>his</b> <b>subjects</b> oppressed by ingenious and aggravated taxes . "	
21549	"HDFRE"	"his"	"subjects"	16	17	1549	"`` To secure the affections of the army , and to esteem the rest of <b>his</b> <b>subjects</b> as of little moment . '' "	
21695	"HDFRE"	"his"	"subjects"	18	19	1695	"To confound the order of seasons and climates , to sport with the passions and prejudices of <b>his</b> <b>subjects</b> , and to subvert every law of nature and decency , were in the number of his most delicious amusements . "	
21705	"HDFRE"	"his"	"subjects"	12	13	1705	"The emperor , in his turn , viewing every rank of <b>his</b> <b>subjects</b> with the same contemptuous indifference , asserted without control his sovereign privilege of lust and luxury . "	
21785	"HDFRE"	"his"	"subjects"	26	27	1785	"The dress of Alexander was plain and modest , his demeanor courteous and affable : at the proper hours his palace was open to all <b>his</b> <b>subjects</b> , but the voice of a crier was heard , as in the Eleusinian mysteries , pronouncing the same salutary admonition : `` Let none enter these holy walls , unless he is conscious of a pure and innocent mind . '' "	
21941	"HDFRE"	"his"	"subjects"	49	51	1941	"Yet , even in the East , the sphere of contention is usually limited to the princes of the reigning house , and as soon as the more fortunate competitor has removed his brethren by the sword and the bowstring , he no longer entertains any jealousy of <b>his</b> meaner <b>subjects</b> . "	
22005	"HDFRE"	"his"	"subjects"	17	18	2005	"The dark and sanguinary soul of the tyrant was open to every suspicion against those among <b>his</b> <b>subjects</b> who were the most distinguished by their birth or merit . "	
22169	"HDFRE"	"his"	"subjects"	31	32	2169	"The soldiers , detesting the senate and the people , despised the weakness of a prince , who wanted either the spirit or the power to command the obedience of <b>his</b> <b>subjects</b> . "	
22204	"HDFRE"	"his"	"subjects"	19	21	2204	"By the artful conspiracy of these wretches , an impenetrable veil was drawn between an innocent prince and <b>his</b> oppressed <b>subjects</b> , the virtuous disposition of Gordian was deceived , and the honors of the empire sold without his knowledge , though in a very public manner , to the most worthless of mankind . "	
22805	"HDFRE"	"his"	"subjects"	7	8	2805	"His timid ingratitude was published to <b>his</b> <b>subjects</b> , in an edict which prohibited the senators from exercising any military employment , and even from approaching the camps of the legions . "	
23010	"HDFRE"	"his"	"subjects"	30	33	3010	"He scattered libels through the camp , inviting the troops to desert an unworthy master , who sacrificed the public happiness to his luxury , and the lives of <b>his</b> most valuable <b>subjects</b> to the slightest suspicions . "	
23050	"HDFRE"	"his"	"subjects"	41	42	3050	"The frequent rebellions of the provinces had involved almost every person in the guilt of treason , almost every estate in the case of confiscation ; and Gallienus often displayed his liberality by distributing among his officers the property of <b>his</b> <b>subjects</b> . "	
23093	"HDFRE"	"his"	"subjects"	22	23	3093	"After a short but glorious reign of two years , Claudius expired at Sirmium , amidst the tears and acclamations of <b>his</b> <b>subjects</b> . "	
23905	"HDFRE"	"his"	"subjects"	33	34	3905	"It is much more likely , that his good sense discovered to him the folly of such magnificent pretensions , and that he was desirous of preserving the reason and fortunes of <b>his</b> <b>subjects</b> from the mischievous pursuit . "	
24067	"HDFRE"	"his"	"subjects"	25	26	4067	"The epithet of Dominus , or Lord , in its primitive signification , was expressive , not of the authority of a prince over <b>his</b> <b>subjects</b> , or of a commander over his soldiers , but of the despotic power of a master over his domestic slaves . "	
24155	"HDFRE"	"his"	"subjects"	20	21	4155	"He confers the most important offices upon vice and weakness , and disgraces the most virtuous and deserving among <b>his</b> <b>subjects</b> . "	
24205	"HDFRE"	"his"	"subjects"	16	18	4205	"Clemency , temperance , and moderation , distinguished the amiable character of Constantius , and <b>his</b> fortunate <b>subjects</b> had frequently occasion to compare the virtues of their sovereign with the passions of Maximian , and even with the arts of Diocletian . "	
24215	"HDFRE"	"his"	"subjects"	21	22	4215	"The stern temper of Galerius was cast in a very different mould ; and while he commanded the esteem of <b>his</b> <b>subjects</b> , he seldom condescended to solicit their affections . "	
24292	"HDFRE"	"his"	"subjects"	32	33	4292	"About that time the avarice of Galerius , or perhaps the exigencies of the state , had induced him to make a very strict and rigorous inquisition into the property of <b>his</b> <b>subjects</b> , for the purpose of a general taxation , both on their lands and on their persons . "	
24427	"HDFRE"	"his"	"subjects"	90	92	4427	"He survived his retreat from Italy about four years ; and wisely relinquishing his views of universal empire , he devoted the remainder of his life to the enjoyment of pleasure , and to the execution of some works of public utility , among which we may distinguish the discharging into the Danube the superfluous waters of the Lake Pelso , and the cutting down the immense forests that encompassed it ; an operation worthy of a monarch , since it gave an extensive country to the agriculture of <b>his</b> Pannonian <b>subjects</b> "	
24431	"HDFRE"	"his"	"subjects"	52	53	4431	"His body , swelled by an intemperate course of life to an unwieldy corpulence , was covered with ulcers , and devoured by innumerable swarms of those insects which have given their name to a most loathsome disease ; but as Galerius had offended a very zealous and powerful party among <b>his</b> <b>subjects</b> , his sufferings , instead of exciting their compassion , have been celebrated as the visible effects of divine justice . "	
20317	"HDFRE"	"their"	"subjects"	17	18	317	"Trajan and Hadrian formed their cavalry from the same provinces , and the same class of <b>their</b> <b>subjects</b> , which recruited the ranks of the legion . "	
20346	"HDFRE"	"their"	"subjects"	24	25	346	"The policy of the emperors was directed only to preserve the peaceful dominion of that sea , and to protect the commerce of <b>their</b> <b>subjects</b> . "	
20401	"HDFRE"	"their"	"subjects"	38	39	401	"I. The policy of the emperors and the senate , as far as it concerned religion , was happily seconded by the reflections of the enlightened , and by the habits of the superstitious , part of <b>their</b> <b>subjects</b> . "	
20455	"HDFRE"	"their"	"subjects"	25	26	455	"Yet even , in the age of the Antonines , when the freedom of the city had been bestowed on the greater number of <b>their</b> <b>subjects</b> , it was still accompanied with very solid advantages . "	
20470	"HDFRE"	"their"	"subjects"	39	40	470	"In their pompous courts , those princes united the elegance of Athens with the luxury of the East , and the example of the court was imitated , at an humble distance , by the higher ranks of <b>their</b> <b>subjects</b> . "	
20510	"HDFRE"	"their"	"subjects"	7	9	510	"Their example was universally imitated by <b>their</b> principal <b>subjects</b> , who were not afraid of declaring to the world that they had spirit to conceive , and wealth to accomplish , the noblest undertakings . "	
20693	"HDFRE"	"their"	"subjects"	14	15	693	"In all the offices of life , they affected to confound themselves with <b>their</b> <b>subjects</b> , and maintained with them an equal intercourse of visits and entertainments . "	
21748	"HDFRE"	"their"	"subjects"	20	21	1748	"The good sense , or the indifference , of succeeding princes , restrained them from offending the prejudices of <b>their</b> <b>subjects</b> ; and it was reserved for the profligate Elagabalus to discharge the acts of the senate with the name of his mother So??mias , who was placed by the side of the consuls , and subscribed , as a regular member , the decrees of the legislative assembly . "	
21943	"HDFRE"	"their"	"subjects"	56	57	1943	"The ancient families of Rome had successively fallen beneath the tyranny of the C??sars ; and whilst those princes were shackled by the forms of a commonwealth , and disappointed by the repeated failure of their posterity , it was impossible that any idea of hereditary succession should have taken root in the minds of <b>their</b> <b>subjects</b> . "	
22304	"HDFRE"	"their"	"subjects"	25	26	2304	"The stately kings of Persia , exchanging their vain pomp for more genuine greatness , freely mingled with the humblest but most useful of <b>their</b> <b>subjects</b> . "	
22971	"HDFRE"	"their"	"subjects"	18	19	2971	"The election of these precarious emperors , their power and their death , were equally destructive to <b>their</b> <b>subjects</b> and adherents . "	
24200	"HDFRE"	"their"	"subjects"	57	58	4200	"The empire was afflicted by five civil wars ; and the remainder of the time was not so much a state of tranquillity as a suspension of arms between several hostile monarchs , who , viewing each other with an eye of fear and hatred , strove to increase their respective forces at the expense of <b>their</b> <b>subjects</b> . "	
24440	"HDFRE"	"their"	"subjects"	24	26	4440	"The sense of their true interest soon connected Licinius and Constantine ; a secret alliance was concluded between Maximin and Maxentius , and <b>their</b> unhappy <b>subjects</b> expected with terror the bloody consequences of their inevitable dissensions , which were no longer restrained by the fear or the respect which they had entertained for Galerius . "	
24801	"HDFRE"	"their"	"subjects"	15	16	4801	"But the moderation of the conquerors was insufficient to appease the jealous prejudices of <b>their</b> <b>subjects</b> , who were alarmed and scandalized at the ensigns of paganism , which necessarily introduced themselves into a Roman province . "	
25119	"HDFRE"	"their"	"subjects"	57	58	5119	"Their mutual hostilities sometimes disturbed the peace of the infant church , but their zeal and activity were united in the common cause , and the love of power , which ( under the most artful disguises ) could insinuate itself into the breasts of bishops and martyrs , animated them to increase the number of <b>their</b> <b>subjects</b> , and to enlarge the limits of the Christian empire . "	
							
23846	"HDFRE"	"their"	"servant"	26	28	3846	"Diocletian and his colleague , who justly dreaded the enterprising spirit of Carausius , resigned to him the sovereignty of Britain , and reluctantly admitted <b>their</b> perfidious <b>servant</b> to a participation of the Imperial honors . "	
24900	"HDFRE"	"his"	"servants"	28	29	4900	"In the style of the fathers , Apollo and the Muses were the organs of the infernal spirit ; Homer and Virgil were the most eminent of <b>his</b> <b>servants</b> ; and the beautiful mythology which pervades and animates the compositions of their genius , is destined to celebrate the glory of the d??mons . "	
							
21598	"HDFRE"	"his"	"ministers"	4	5	1598	"The choice of <b>his</b> <b>ministers</b> was in many instances justly censured , and the dissatisfied people , with their usual candor , accused at once his indolent tameness and his excessive severity . "	
21674	"HDFRE"	"his"	"ministers"	12	13	1674	"The pious emperor held the reins , and , supported by <b>his</b> <b>ministers</b> , moved slowly backwards , that he might perpetually enjoy the felicity of the divine presence . "	
21822	"HDFRE"	"his"	"ministers"	20	23	1822	"Under the reign of a just and virtuous prince , the tyranny of the army threatened with instant death <b>his</b> most faithful <b>ministers</b> , who were suspected of an intention to correct their intolerable disorders . "	
22977	"HDFRE"	"his"	"ministers"	14	15	2977	"There is still extant a most savage mandate from Gallienus to one of <b>his</b> <b>ministers</b> , after the suppression of Ingenuus , who had assumed the purple in Illyricum . "	
23670	"HDFRE"	"his"	"ministers"	14	15	3670	"From the dregs of that populace he selected his favorites , and even <b>his</b> <b>ministers</b> . "	
24060	"HDFRE"	"his"	"ministers"	18	19	4060	"In the exercise of the legislative as well as the executive power , the sovereign advised with <b>his</b> <b>ministers</b> , instead of consulting the great council of the nation . "	
							
21730	"HDFRE"	"his"	"minions"	8	9	1730	"His unseasonable severity proved instantly fatal to <b>his</b> <b>minions</b> , his mother , and himself . "	
21534	"HDFRE"	"father"	"minister"	19	21	1534	"The honest labors of Papinian served only to inflame the hatred which Caracalla had already conceived against his <b>father</b> 's <b>minister</b> . "	
23716	"HDFRE"	"his"	"minister"	34	36	3716	"But a report soon circulated through the camp , at first in secret whispers , and at length in loud clamors , of the emperor 's death , and of the presumption of <b>his</b> ambitious <b>minister</b> , who still exercised the sovereign power in the name of a prince who was no more . "	
23850	"HDFRE"	"his"	"minister"	5	7	3850	"He was murdered by <b>his</b> first <b>minister</b> , Allectus , and the assassin succeeded to his power and to his danger . "	
							
21520	"HDFRE"	"His"	"guards"	1	2	1520	"<b>His</b> <b>guards</b> and freedmen , the ministers of his serious business , and the companions of his looser hours , those who by his interest had been promoted to any commands in the army or provinces , with the long connected chain of their dependants , were included in the proscription ; which endeavored to reach every one who had maintained the smallest correspondence with Geta , who lamented his death , or who even mentioned his name . "	
21545	"HDFRE"	"his"	"guards"	30	31	1545	"The senators , compelled by fear to attend his capricious motions , were obliged to provide daily entertainments at an immense expense , which he abandoned with contempt to <b>his</b> <b>guards</b> ; and to erect , in every city , magnificent palaces and theatres , which he either disdained to visit , or ordered immediately thrown down . "	
21563	"HDFRE"	"his"	"guards"	22	23	1563	"* He was attended by a body of cavalry : but having stopped on the road for some necessary occasion , <b>his</b> <b>guards</b> preserved a respectful distance , and Martialis , approaching his person under a presence of duty , stabbed him with a dagger . "	
21980	"HDFRE"	"his"	"guards"	54	56	1980	"The writers , who suppose that he died in ignorance of the ingratitude and ambition of Maximin , affirm , that , after taking a frugal repast in the sight of the army , he retired to sleep , and that , about the seventh hour of the day , a part of <b>his</b> own <b>guards</b> broke into the imperial tent , and , with many wounds , assassinated their virtuous and unsuspecting prince . "	
22149	"HDFRE"	"his"	"guards"	5	6	2149	"Maximin , abandoned by <b>his</b> <b>guards</b> , was slain in his tent , with his son , ( whom he had associated to the honors of the purple , ) Anulinus the pr??fect , and the principal ministers of his tyranny . "	
23018	"HDFRE"	"his"	"guards"	78	79	3018	"At a late hour of the night , but while the emperor still protracted the pleasures of the table , an alarm was suddenly given , that Aureolus , at the head of all his forces , had made a desperate sally from the town ; Gallienus , who was never deficient in personal bravery , started from his silken couch , and without allowing himself time either to put on his armor , or to assemble <b>his</b> <b>guards</b> , he mounted on horseback , and rode full speed towards the supposed place of the attack "	
23578	"HDFRE"	"our"	"guards"	3	5	3578	"We dread <b>our</b> very <b>guards</b> , we distrust our companions . "	
22827	"HDFRE"	"their"	"guides"	15	16	2827	"Warriors of such a daring spirit must have often murmured against the cowardice of <b>their</b> <b>guides</b> , who required the strongest assurances of a settled calm before they would venture to embark ; and would scarcely ever be tempted to lose sight of the land . "	
							
21443	"HDFRE"	"his"	"army"	18	19	1443	"But the concealed ambuscades of the Caledonians , who hung unseen on the rear and flanks of <b>his</b> <b>army</b> , the coldness of the climate and the severity of a winter march across the hills and morasses of Scotland , are reported to have cost the Romans above fifty thousand men . "	
22130	"HDFRE"	"his"	"army"	44	46	2130	"It might naturally be expected , that a prince of such a character , instead of suffering the rebellion to gain stability by delay , should immediately have marched from the banks of the Danube to those of the Tyber , and that <b>his</b> victorious <b>army</b> , instigated by contempt for the senate , and eager to gather the spoils of Italy , should have burned with impatience to finish the easy and lucrative conquest . "	
22137	"HDFRE"	"his"	"army"	21	22	2137	"At length , on a singular bridge , constructed with art and difficulty , of large hogsheads , he transported <b>his</b> <b>army</b> to the opposite bank , rooted up the beautiful vineyards in the neighborhood of Aquileia , demolished the suburbs , and employed the timber of the buildings in the engines and towers , with which on every side he attacked the city . "	
22146	"HDFRE"	"his"	"army"	19	20	2146	"The fierce temper of the tyrant was exasperated by disappointments , which he imputed to the cowardice of <b>his</b> <b>army</b> ; and his wanton and ill-timed cruelty , instead of striking terror , inspired hatred , and a just desire of revenge . "	
22171	"HDFRE"	"his"	"army"	7	9	2171	"After the tyrant 's death , <b>his</b> formidable <b>army</b> had acknowledged , from necessity rather than from choice , the authority of Maximus , who transported himself without delay to the camp before Aquileia . "	
22642	"HDFRE"	"his"	"army"	7	8	2642	"He conducted , or followed , <b>his</b> <b>army</b> to the confines of Italy , whither Philip , collecting all his force to repel the formidable competitor whom he had raised up , advanced to meet him . "	
22709	"HDFRE"	"his"	"army"	26	27	2709	"It was easier to vanquish the Goths than to eradicate the public vices ; yet even in the first of these enterprises , Decius lost <b>his</b> <b>army</b> and his life . "	
22753	"HDFRE"	"his"	"army"	33	34	2753	"The troops of ??milianus , who still lay encamped in the plains of Spoleto , were awed by the sanctity of his character , but much more by the superior strength of <b>his</b> <b>army</b> ; and as they were now become as incapable of personal attachment as they had always been of constitutional principle , they readily imbrued their hands in the blood of a prince who so lately had been the object of their partial choice . "	
23236	"HDFRE"	"his"	"army"	59	60	3236	"By the death of Odenathus , that authority was at an end which the senate had granted him only as a personal distinction ; but his martial widow , disdaining both the senate and Gallienus , obliged one of the Roman generals , who was sent against her , to retreat into Europe , with the loss of <b>his</b> <b>army</b> and his reputation . "	
23273	"HDFRE"	"his"	"army"	28	29	3273	"In his march over the sandy desert between Emesa and Palmyra , the emperor Aurelian was perpetually harassed by the Arabs ; nor could he always defend <b>his</b> <b>army</b> , and especially his baggage , from those flying troops of active and daring robbers , who watched the moment of surprise , and eluded the slow pursuit of the legions . "	
24329	"HDFRE"	"his"	"army"	20	21	4329	"Maximian , who conducted the siege in person , was soon convinced that he might waste his time and <b>his</b> <b>army</b> in the fruitless enterprise , and that he had nothing to hope either from force or famine . "	
24404	"HDFRE"	"his"	"army"	14	15	4404	"An incursion of the Franks had summoned Constantine , with a part of <b>his</b> <b>army</b> , to the banks of the Rhine ; the remainder of the troops were stationed in the southern provinces of Gaul , which lay exposed to the enterprises of the Italian emperor , and a considerable treasure was deposited in the city of Arles . "	
24732	"HDFRE"	"his"	"army"	11	12	4732	"Their emperor was satisfied with their martial appearance , and <b>his</b> <b>army</b> contained more soldiers , though fewer men , than that of his eastern competitor . "	
24763	"HDFRE"	"his"	"army"	5	7	4763	"A considerable part of <b>his</b> victorious <b>army</b> was transported over the Bosphorus in small vessels , and the decisive engagement was fought soon after their landing on the heights of Chrysopolis , or , as it is now called , of Scutari . "	
23063	"HDFRE"	"their"	"army"	50	52	3063	"On the banks of the Niester , one of the great rivers that discharge themselves into that sea , they constructed a fleet of two thousand , or even of six thousand vessels ; numbers which , however incredible they may seem , would have been insufficient to transport <b>their</b> pretended <b>army</b> of three hundred and twenty thousand barbarians . "	
							
24326	"HDFRE"	"her"	"armies"	12	13	4326	"Rome , according to the expression of an orator , recalled <b>her</b> <b>armies</b> ; and the unfortunate Severus , destitute of force and of counsel , retired , or rather fled , with precipitation , to Ravenna . "	
23971	"HDFRE"	"his"	"armies"	25	26	3971	"A slight resistance was followed by a dreadful carnage , and , in the general confusion , the wounded monarch ( for Narses commanded <b>his</b> <b>armies</b> in person ) fled towards the deserts of Media . "	
24721	"HDFRE"	"his"	"armies"	62	63	4721	"At the head of his legions he passed the Danube after repairing the bridge which had been constructed by Trajan , penetrated into the strongest recesses of Dacia , and when he had inflicted a severe revenge , condescended to give peace to the suppliant Goths , on condition that , as often as they were required , they should supply <b>his</b> <b>armies</b> with a body of forty thousand soldiers . "	
22783	"HDFRE"	"its"	"armies"	24	25	2783	"Whilst that prince , and his infant son Salonius , displayed , in the court of Treves , the majesty of the empire <b>its</b> <b>armies</b> were ably conducted by their general , Posthumus , who , though he afterwards betrayed the family of Valerian , was ever faithful to the great interests of the monarchy . "	
20336	"HDFRE"	"their"	"armies"	7	8	336	"If , in the consideration of <b>their</b> <b>armies</b> , we pass from their discipline to their numbers , we shall not find it easy to define them with any tolerable accuracy . "	
22374	"HDFRE"	"their"	"armies"	25	26	2374	"Both Alexander Severus and Artaxerxes , collecting the military force of the Roman and Persian monarchies , resolved in this important contest to lead <b>their</b> <b>armies</b> in person . "	
22425	"HDFRE"	"their"	"armies"	21	23	2425	"The barbarians , who often chose that severe season for their inroads , transported , without apprehension or danger , <b>their</b> numerous <b>armies</b> , their cavalry , and their heavy wagons , over a vast and solid bridge of ice . "	
22824	"HDFRE"	"their"	"armies"	25	26	2824	"With the acquisition of a superfluous waste of fertile soil , the conquerors obtained the command of a naval force , sufficient to transport <b>their</b> <b>armies</b> to the coast of Asia . "	
